Observation,max_freq_1_x,max_freq_2_x,max_freq_3_x,max_freq_4_x,max_freq_5_x,max_freq_1_y,max_freq_2_y,max_freq_3_y,max_freq_4_y,max_freq_5_y
1.0,4280.0,4240.000000000001,4160.0,4120.0,3930.0000000000005,4280.0,4140.000000000001,4120.0,3920.0000000000005,3900.0
2.0,4450.0,4320.0,4130.0,4040.0000000000005,4020.0000000000005,4560.0,4450.0,4400.0,4320.0,4130.0
3.0,4330.0,4130.0,4100.0,4070.0000000000005,3910.0,4330.0,4280.0,4130.0,4100.0,3910.0
4.0,4140.000000000001,4130.0,4120.0,4100.0,4090.0000000000005,5190.000000000001,4140.000000000001,4130.0,4100.0,3900.0
5.0,4450.0,4290.000000000001,4170.0,4100.0,60.00000000000001,4560.0,4450.0,4300.0,4290.000000000001,4100.0
6.0,4130.0,4110.0,3910.0,3900.0,3670.0000000000005,4330.0,4130.0,4120.0,4110.0,3920.0000000000005
7.0,4100.0,3920.0000000000005,3890.0000000000005,3760.0,1200.0,4730.0,4540.000000000001,4410.0,4110.0,4100.0
8.0,4050.0,3910.0,180.0,120.00000000000001,60.00000000000001,6160.0,4800.0,4790.000000000001,4170.0,4050.0
9.0,5390.000000000001,5360.0,5100.0,3500.0,3220.0000000000005,4780.0,3680.0000000000005,3670.0000000000005,3220.0000000000005,3030.0
10.0,3690.0,3480.0000000000005,3450.0,1210.0000000000002,120.00000000000001,8780.000000000002,5010.0,4520.0,3700.0,3690.0
11.0,5420.0,3510.0,3460.0,3060.0,120.00000000000001,8640.0,4890.000000000001,3670.0000000000005,3510.0,3060.0
12.0,4140.000000000001,4130.0,4020.0000000000005,3910.0,3880.0000000000005,4740.000000000001,4140.000000000001,4130.0,4110.0,3910.0
13.0,4140.000000000001,4130.0,4100.0,4070.0000000000005,4050.0,4520.0,4140.000000000001,4130.0,4100.0,3940.0000000000005
14.0,4540.000000000001,4140.000000000001,4050.0,3510.0,3470.0000000000005,4540.000000000001,4530.0,4360.0,4140.000000000001,4050.0
15.0,4140.000000000001,3930.0000000000005,3920.0000000000005,3890.0000000000005,60.00000000000001,4780.0,4550.0,4530.0,4390.000000000001,4350.0
16.0,4080.0000000000005,4060.0,4010.0,3980.0000000000005,3890.0000000000005,4780.0,4520.0,4350.0,4150.0,4080.0000000000005
17.0,5190.000000000001,4990.000000000001,4960.0,4530.0,60.00000000000001,5110.0,5020.0,4990.000000000001,4890.000000000001,4580.0
18.0,5450.0,5290.000000000001,5230.0,5100.0,3500.0,6580.0,4720.0,3500.0,3320.0000000000005,2960.0
