Observation,max_freq_1_x,max_freq_2_x,max_freq_3_x,max_freq_4_x,max_freq_5_x,max_freq_1_y,max_freq_2_y,max_freq_3_y,max_freq_4_y,max_freq_5_y
1.0,3930.0000000000005,3770.0000000000005,3750.0,3530.0000000000005,3510.0,10530.000000000002,10240.0,6040.000000000001,5820.0,3930.0000000000005
2.0,3950.0,3700.0,3620.0000000000005,3560.0,3510.0,6510.000000000001,5820.0,5590.000000000001,4410.0,2120.0000000000005
3.0,3820.0000000000005,3710.0,3530.0000000000005,3500.0,3310.0,10120.0,10090.0,10080.000000000002,5710.0,3710.0
4.0,4000.0,3760.0,3560.0,3550.0,3510.0,10330.000000000002,10190.0,5920.0,5850.0,3950.0
5.0,3960.0,3950.0,3770.0000000000005,3700.0,3550.0,8740.0,5280.0,4860.0,4830.0,3550.0
6.0,3970.0000000000005,3960.0,3940.0000000000005,3850.0,3780.0000000000005,5600.0,5440.000000000001,4600.0,3960.0,3940.0000000000005
7.0,4180.0,3980.0000000000005,3960.0,3760.0,3510.0,5740.000000000001,5630.0,5300.0,5290.000000000001,4180.0
8.0,4160.0,3990.0000000000005,3790.0,3550.0,3510.0,5750.0,5720.0,5400.0,5080.0,3070.0000000000005
9.0,4000.0,3990.0000000000005,3930.0000000000005,3780.0000000000005,3710.0,10550.0,5520.0,5290.000000000001,5270.0,5250.0
10.0,4590.000000000001,3970.0000000000005,3890.0000000000005,3800.0,3510.0,5730.0,5510.0,5290.000000000001,4870.0,3100.0
11.0,4020.0000000000005,3960.0,3950.0,3940.0000000000005,3920.0000000000005,5970.0,5820.0,5750.0,5730.0,4420.0
12.0,4190.000000000001,4170.0,4160.0,3770.0000000000005,3570.0000000000005,10810.0,10330.000000000002,5280.0,4190.000000000001,4170.0
13.0,3990.0000000000005,3970.0000000000005,3930.0000000000005,3920.0000000000005,3770.0000000000005,5900.0,5840.000000000001,5540.000000000001,4190.000000000001,3930.0000000000005
14.0,4190.000000000001,3980.0000000000005,3780.0000000000005,3750.0,3730.0000000000005,9480.000000000002,5790.000000000001,5780.0,5540.000000000001,4190.000000000001
15.0,4200.0,4190.000000000001,3960.0,3920.0000000000005,3730.0000000000005,6530.0,5850.0,5480.0,4200.0,2930.0
16.0,4120.0,3950.0,3780.0000000000005,3700.0,3520.0000000000005,9440.0,5550.0,5530.0,5510.0,4620.0
17.0,4190.000000000001,4010.0,3880.0000000000005,3790.0,3750.0,5750.0,5730.0,5530.0,5500.0,4190.000000000001
18.0,4190.000000000001,4170.0,4010.0,4000.0,3950.0,5710.0,5500.0,4210.0,4190.000000000001,4170.0
19.0,4100.0,3950.0,3910.0,3900.0,3560.0,8640.0,5760.0,5520.0,5510.0,3970.0000000000005
20.0,4190.000000000001,3970.0000000000005,3960.0,3940.0000000000005,3790.0,5750.0,5640.000000000001,5310.0,5080.0,2910.0
21.0,4170.0,4030.0000000000005,3790.0,3760.0,3550.0,10370.0,5840.000000000001,5730.0,5600.0,5520.0
22.0,3930.0000000000005,3850.0,3740.0,3730.0000000000005,3710.0,5720.0,5610.0,5310.0,5300.0,4630.0
23.0,4200.0,3980.0000000000005,3950.0,3560.0,3550.0,10360.0,10210.0,10180.000000000002,10160.0,3950.0
24.0,3800.0,3750.0,3740.0,3560.0,3540.0,10350.0,10340.0,10100.0,5070.0,4380.0
25.0,3800.0,3630.0000000000005,3580.0000000000005,3570.0000000000005,3520.0000000000005,10180.000000000002,9940.0,5520.0,5210.0,5100.0
26.0,3790.0,3600.0,3570.0000000000005,3510.0,3470.0000000000005,10200.0,10170.0,10120.0,6320.0,5340.000000000001
27.0,3800.0,3750.0,3740.0,3620.0000000000005,3570.0000000000005,10160.0,10120.0,9920.0,4630.0,2880.0
28.0,3790.0,3720.0000000000005,3580.0000000000005,3550.0,3520.0000000000005,10370.0,9940.0,9920.0,5320.0,5300.0
29.0,3970.0000000000005,3790.0,3740.0,3570.0000000000005,3490.0,10360.0,9970.0,9920.0,5550.0,5320.0
30.0,3730.0000000000005,3580.0000000000005,3530.0000000000005,3510.0,3370.0000000000005,10130.000000000002,9940.0,5650.0,4870.0,4210.0
31.0,3790.0,3760.0,3540.0,3530.0000000000005,3130.0,10250.0,10140.0,9960.0,6310.0,5430.0
32.0,3810.0,3790.0,3570.0000000000005,3350.0,3130.0,10190.0,10170.0,10160.0,9960.0,2700.0
33.0,3980.0000000000005,3740.0,3720.0000000000005,3550.0,3350.0,9970.0,9960.0,9920.0,5320.0,4650.0
34.0,3790.0,3560.0,3530.0000000000005,3520.0000000000005,3300.0,10120.0,10000.0,5310.0,3540.0,3530.0000000000005
35.0,3650.0,3560.0,3540.0,3520.0000000000005,2900.0,10140.0,9950.0,9940.0,9930.000000000002,9920.0
36.0,3750.0,3520.0000000000005,3500.0,3480.0000000000005,3300.0,10080.000000000002,10000.0,9950.0,9920.0,5310.0
37.0,3780.0000000000005,3750.0,3570.0000000000005,3510.0,3330.0000000000005,9900.0,5450.0,5290.000000000001,5240.000000000001,4830.0
38.0,3780.0000000000005,3680.0000000000005,3570.0000000000005,3430.0000000000005,3350.0,10170.0,10050.0,9910.0,5320.0,5300.0
39.0,3680.0000000000005,3560.0,3520.0000000000005,2900.0,2670.0000000000005,10390.0,10150.0,5390.000000000001,5270.0,5070.0
40.0,3780.0000000000005,3570.0000000000005,3520.0000000000005,3490.0,3340.0,10040.0,9960.0,9910.0,5500.0,5320.0
41.0,3710.0,3570.0000000000005,3560.0,3500.0,3120.0000000000005,9940.0,8880.000000000002,6320.0,5220.0,2130.0
42.0,3660.0,3570.0000000000005,3520.0000000000005,3330.0000000000005,2670.0000000000005,10180.000000000002,10020.0,9920.0,9780.000000000002,5080.0
43.0,3740.0,3570.0000000000005,3530.0000000000005,3360.0,3330.0000000000005,10090.0,9950.0,9700.0,5410.0,5070.0
44.0,3510.0,3480.0000000000005,3350.0,3260.0,2900.0,10140.0,10130.000000000002,9940.0,9880.000000000002,3480.0000000000005
45.0,3570.0000000000005,3560.0,3530.0000000000005,3350.0,3290.0,10090.0,9920.0,6320.0,5260.0,3530.0000000000005
46.0,3760.0,3570.0000000000005,3530.0000000000005,3500.0,3350.0,9960.0,9480.000000000002,5510.0,5330.0,1710.0000000000002
47.0,3760.0,3540.0,3530.0000000000005,3490.0,3380.0000000000005,10390.0,10180.000000000002,5430.0,5080.0,3530.0000000000005
48.0,3630.0000000000005,3580.0000000000005,3550.0,3340.0,3080.0,10170.0,9940.0,9750.0,9720.0,5070.0
49.0,4020.0000000000005,3090.0,2900.0,2700.0,1100.0,10300.0,9980.000000000002,9940.0,9760.0,5420.0
50.0,4210.0,3580.0000000000005,3340.0,3080.0,2890.0,10210.0,9960.0,9740.0,9730.000000000002,1690.0000000000002
51.0,2900.0,2860.0,2690.0,2680.0,60.00000000000001,10020.0,9980.000000000002,7500.0,5760.0,5310.0
52.0,3090.0,3080.0,2910.0,2870.0000000000005,2670.0000000000005,9980.000000000002,9960.0,5080.0,3090.0,1900.0
53.0,3350.0,2910.0,2900.0,2870.0000000000005,60.00000000000001,10150.0,9960.0,9740.0,4650.0,1690.0000000000002
54.0,3130.0,2940.0,2910.0,2690.0,60.00000000000001,9840.0,9810.0,7630.0,5450.0,5430.0
55.0,3140.0,3120.0000000000005,2960.0,2910.0,2460.0,10200.0,10180.000000000002,7360.000000000001,5870.0,1670.0
